,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
0,BAB,15,4,0.1,0.0,1.9677340731020707,574,0.0016830000095069408,True,10,100,0.2
1,MOEA-QR-BAB,15,4,0.1,0.0,1.9677340731020707,1238,0.0022879999596625566,True,10,100,0.2
2,MOEA-QR-BSA,15,4,0.1,0.0,1.9677340731020603,8773,2.044189929962158,True,10,100,0.2
3,BSA,15,4,0.1,0.0,1.9677340731020603,8773,2.069063901901245,True,10,100,0.2
4,EXACT,15,4,0.1,0.0,1.9677340731020818,0,0.007960000075399876,True,10,100,0.2
5,BAB,15,4,0.1,0.0,0.610281501180101,851,0.0019759999122470617,True,10,100,0.2
6,MOEA-QR-BAB,15,4,0.1,0.0,0.610281501180101,1244,0.0025390000082552433,True,10,100,0.2
7,MOEA-QR-BSA,15,4,0.1,0.0,0.6102815011800997,6014,1.9375330209732056,True,10,100,0.2
8,BSA,15,4,0.1,0.0,0.6102815011800997,6014,1.92677903175354,True,10,100,0.2
9,EXACT,15,4,0.1,0.0,0.6102815011801057,0,0.007693000137805939,True,10,100,0.2
10,BAB,15,4,0.1,0.0,11.008602440162123,625,0.0016270000487565994,True,10,100,0.2
11,MOEA-QR-BAB,15,4,0.1,0.0,11.008602440162123,1229,0.0023799999617040157,True,10,100,0.2
12,MOEA-QR-BSA,15,4,0.1,0.0,11.008602440162147,11532,2.3193280696868896,True,10,100,0.2
13,BSA,15,4,0.1,0.0,11.008602440162147,11532,2.33776593208313,True,10,100,0.2
14,EXACT,15,4,0.1,0.0,11.008602440162152,0,0.00788700021803379,True,10,100,0.2
15,BAB,15,4,0.1,0.0,0.13652496275028883,578,0.0016449999529868364,True,10,100,0.2
16,MOEA-QR-BAB,15,4,0.1,0.0,0.13652496275028883,1215,0.002263000002130866,True,10,100,0.2
17,MOEA-QR-BSA,15,4,0.1,0.0,0.13652496275028503,7998,1.9995659589767456,True,10,100,0.2
18,BSA,15,4,0.1,0.0,0.13652496275028503,7998,2.013792037963867,True,10,100,0.2
19,EXACT,15,4,0.1,0.0,0.13652496275029158,0,0.00785799976438284,True,10,100,0.2
20,BAB,15,4,0.1,0.0,2.555173204726536,698,0.0017109999898821115,True,10,100,0.2
21,MOEA-QR-BAB,15,4,0.1,0.0,2.555173204726536,1318,0.0027280000504106283,True,10,100,0.2
22,MOEA-QR-BSA,15,4,0.1,0.0,2.555173204726513,6541,2.0050370693206787,True,10,100,0.2
23,BSA,15,4,0.1,0.0,2.555173204726513,6541,2.0391039848327637,True,10,100,0.2
24,EXACT,15,4,0.1,0.0,2.555173204726528,0,0.007972000166773796,True,10,100,0.2
25,BAB,15,4,0.1,0.0,0.4653997892753251,885,0.0026000000070780516,True,10,100,0.2
26,MOEA-QR-BAB,15,4,0.1,0.0,0.4653997892753251,1212,0.002348999958485365,True,10,100,0.2
27,MOEA-QR-BSA,15,4,0.1,0.0,0.46539978927532444,10571,2.6007819175720215,True,10,100,0.2
28,BSA,15,4,0.1,0.0,0.46539978927532444,10571,2.6064960956573486,True,10,100,0.2
29,EXACT,15,4,0.1,0.0,0.46539978927533415,0,0.007832000032067299,True,10,100,0.2
30,BAB,15,4,0.1,0.0,0.5080256915313637,607,0.001715000020340085,True,10,100,0.2
31,MOEA-QR-BAB,15,4,0.1,0.0,0.5080256915313637,1468,0.002962999977171421,True,10,100,0.2
32,MOEA-QR-BSA,15,4,0.1,0.0,0.5080256915313616,9455,2.2050020694732666,True,10,100,0.2
33,BSA,15,4,0.1,0.0,0.5080256915313616,9455,2.1273279190063477,True,10,100,0.2
34,EXACT,15,4,0.1,0.0,0.5080256915313763,0,0.007910000160336494,True,10,100,0.2
35,BAB,15,4,0.1,0.0,15.404483110121816,571,0.0015490000369027257,True,10,100,0.2
36,MOEA-QR-BAB,15,4,0.1,0.0,15.404483110121816,1506,0.003160000080242753,True,10,100,0.2
37,MOEA-QR-BSA,15,4,0.1,0.0,15.404483110121742,3689,2.123631000518799,True,10,100,0.2
38,BSA,15,4,0.1,0.0,15.404483110121742,3689,2.1201159954071045,True,10,100,0.2
39,EXACT,15,4,0.1,0.0,15.404483110121761,0,0.007813000120222569,True,10,100,0.2
40,BAB,15,4,0.1,0.0,3.201403830535403,738,0.0018319999799132347,True,10,100,0.2
41,MOEA-QR-BAB,15,4,0.1,0.0,3.201403830535403,1202,0.0022219999227672815,True,10,100,0.2
42,MOEA-QR-BSA,15,4,0.1,0.0,3.2014038305353854,14787,2.245910882949829,True,10,100,0.2
43,BSA,15,4,0.1,0.0,3.2014038305353854,14787,2.2449889183044434,True,10,100,0.2
44,EXACT,15,4,0.1,0.0,3.2014038305353893,0,0.007822000421583652,True,10,100,0.2
